Name,Branch,Place,Exams Accepted,Fees
"MVJ College of Engineering, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 763,000"
"DIT University, Dehradun",B.Tech Civil Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 704,340"
"CV Raman College of Engineering, Bhubaneswar",B.Tech Civil Engineering,"Bhubaneswar, Odisha",JEE,"Fees:  ₹ 356,000"
"ICFAI Tech School, Hyderabad",B.Tech Civil Engineering,"Hyderabad, Telangana",NA,Exams:  ATIT 
"Vishwakarma Government Engineering College, Ahmedabad",BE Civil Engineering,"Ahmedabad, Gujarat",NA,"Fees:  ₹ 11,200"
National Institute of Technology Goa,B.Tech Civil Engineering,"Ponda, Goa",JEE,"Fees:  ₹ 559,600"
"Shri Govindram Seksaria Institute of Technology and Science, Indore",BE Civil Engineering,"Indore, Madhya Pradesh",JEE,"Fees:  ₹ 283,450"
"Jawaharlal Nehru Technological University College of Engineering, Kakinada",B.Tech Civil Engineering,"Kakinada, Andhra Pradesh",AP,"Fees:  ₹ 40,000"
"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",B.Tech Civil Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 405,000"
"Rajagiri School of Engineering and Technology, Kochi",B.Tech Civil Engineering,"Kochi, Kerala",KEAM,"Fees:  ₹ 112,000"
"CMR Institute of Technology, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 213,840"
"Goa College of Engineering, Farmagudi",BE Civil Engineering,"Ponda, Goa",GCET,"Fees:  ₹ 88,000"
"Mepco Schlenk Engineering College, Sivakasi",BE Civil Engineering,"Melamattur, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"College of Engineering and Technology, Bhubaneswar",B.Tech Civil Engineering,"Bhubaneshwar, Odisha",OJEE,"Fees:  ₹ 236,200"
"BV Raju Institute of Technology, Narsapur",B.Tech Civil Engineering,"Narsapur, Telangana",TS,"Fees:  ₹ 414,000"
Indian Institute of Technology Patna,B.Tech Civil Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 845,390"
Maulana Azad National Institute of Technology Bhopal,B.Tech Civil Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 558,911"
"RNS Institute of Technology, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",KCET,"Fees:  ₹ 3,18,000"
"Sri Ramakrishna Engineering College, Coimbatore",BE Civil Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 1,60,000"
"Government Engineering College, Ajmer",B.Tech Civil Engineering,"Ajmer, Rajasthan",JEE,"Fees:  ₹ 2,40,000"
"BIT Sindri, Dhanbad",B.Tech Civil Engineering,"Dhanbad, Jharkhand",JEECE,"Fees:  ₹ 1,47,223"
National Institute of Technology Patna,B.Tech Civil Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 5,65,500"
